tahun,topic_id,n_docs,n_total,proporsi,label_topik
2015,76,1,602,0.0016611295681063123,Topik_76
2015,77,1,602,0.0016611295681063123,Topik_77
2015,78,2,602,0.0033222591362126247,Topik_78
2015,81,3,602,0.0049833887043189366,Topik_81
2015,82,1,602,0.0016611295681063123,Topik_82
2015,86,1,602,0.0016611295681063123,Topik_86
2015,88,9,602,0.014950166112956811,Topik_88
2015,89,2,602,0.0033222591362126247,Topik_89
2015,90,1,602,0.0016611295681063123,Topik_90
2015,91,1,602,0.0016611295681063123,Topik_91
2015,93,3,602,0.0049833887043189366,Topik_93
2015,94,3,602,0.0049833887043189366,Topik_94
2015,96,2,602,0.0033222591362126247,Topik_96
2015,97,2,602,0.0033222591362126247,Topik_97
2015,98,3,602,0.0049833887043189366,Topik_98
2015,99,3,602,0.0049833887043189366,Topik_99
2015,100,2,602,0.0033222591362126247,Topik_100
2015,102,2,602,0.0033222591362126247,Topik_102
2015,103,2,602,0.0033222591362126247,Topik_103
2015,104,1,602,0.0016611295681063123,Topik_104
2016,0,144,881,0.16345062429057888,Topik_0
2016,1,36,881,0.04086265607264472,Topik_1
2016,2,57,881,0.06469920544835414,Topik_2
2016,3,35,881,0.039727582292849034,Topik_3
2016,4,15,881,0.0170261066969353,Topik_4
2016,5,13,881,0.014755959137343927,Topik_5
2016,6,22,881,0.024971623155505107,Topik_6
2016,7,8,881,0.009080590238365494,Topik_7
2016,8,16,881,0.018161180476730987,Topik_8
2016,9,13,881,0.014755959137343927,Topik_9
2016,10,19,881,0.021566401816118047,Topik_10
2016,11,11,881,0.012485811577752554,Topik_11
2016,12,14,881,0.015891032917139614,Topik_12
2016,13,12,881,0.01362088535754824,Topik_13
2016,14,20,881,0.022701475595913734,Topik_14
2016,15,15,881,0.0170261066969353,Topik_15
2016,16,10,881,0.011350737797956867,Topik_16
2016,17,8,881,0.009080590238365494,Topik_17
2016,18,7,881,0.007945516458569807,Topik_18
2016,19,10,881,0.011350737797956867,Topik_19
2016,20,8,881,0.009080590238365494,Topik_20
2016,21,8,881,0.009080590238365494,Topik_21
2016,24,4,881,0.004540295119182747,Topik_24
2016,25,8,881,0.009080590238365494,Topik_25
2016,26,6,881,0.00681044267877412,Topik_26
2016,27,11,881,0.012485811577752554,Topik_27
2016,28,2,881,0.0022701475595913734,Topik_28
2016,29,12,881,0.01362088535754824,Topik_29
2016,30,3,881,0.00340522133938706,Topik_30
2016,31,13,881,0.014755959137343927,Topik_31
2016,32,19,881,0.021566401816118047,Topik_32
2016,33,3,881,0.00340522133938706,Topik_33
